name,symbol,current_price,market_cap,market_cap_rank,total_volume,price_change_percentage_24h,circulating_supply,ath,atl,price_distance_from_ath,price_distance_from_atl,volatility_estimate
Pi Network,pi,0.257211,2485247814,39,102783666.0,9.13359,9662291721.938555,2.99,0.131244,2.7327890000000004,0.12596700000000002,2.858756
Uniswap,uni,3.89,2466319662,40,166601992.0,-0.41795,633561603.6037512,44.92,1.03,41.03,2.8600000000000003,43.89
Mantle,mnt,0.713999,2342574266,41,34976173.0,2.78057,3277944055.53684,2.86,0.307978,2.146001,0.4060210000000001,2.552022
Circle USYC,usyc,1.12,2310883935,42,99.62,-0.00022,2064592939.121431,1.12,1.026,0.0,0.09400000000000008,0.09400000000000008
Bittensor,tao,213.47,2049345952,43,180285717.0,6.24967,9597491.0,757.6,30.83,544.13,182.64,726.77
BlackRock USD Institutional Digital Liquidity Fund,buidl,1.0,1993947246,44,0.0,0.0,1993947246.360449,1.0,1.0,0.0,0.0,0.0
OKB,okb,94.53,1985157978,45,20284252.0,-0.98148,21000000.0,228.74,0.580608,134.21,93.949392,228.159392
Sky,sky,0.081411,1876543328,46,17985500.0,2.35606,23048310440.61523,0.100535,0.03582727,0.019124000000000002,0.045583729999999996,0.06470772999999999
Global Dollar,usdg,0.999854,1750259333,47,91023314.0,-0.02071,1750418666.460603,1.65,0.907561,0.6501459999999999,0.09229300000000007,0.742439
Falcon USD,usdf,0.998368,1749649827,48,780879.0,0.10376,1754386915.950416,1.075,0.943422,0.07663199999999992,0.05494600000000005,0.13157799999999997
Aster,aster,0.70013,1719460100,49,110106768.0,-0.00418,2455859719.12999,2.41,0.099713,1.70987,0.600417,2.310287
NEAR Protocol,near,1.33,1716652438,50,226151422.0,3.10526,1290004169.0,20.44,0.526762,19.11,0.8032380000000001,19.913238
Aave,aave,110.85,1684375094,51,255830159.0,-0.49469,15182958.77255335,661.69,26.02,550.84,84.83,635.6700000000001
Ripple USD,rlusd,0.999976,1562519001,52,82964334.0,0.0024,1562628408.127282,1.073,0.962292,0.07302399999999998,0.03768399999999994,0.11070799999999992
Bitget Token,bgb,2.15,1506309148,53,8422344.0,-0.80713,699992035.9787906,8.45,0.0142795,6.299999999999999,2.1357204999999997,8.435720499999999
HTX DAO,htx,1.6e-06,1468327958,54,46580513.0,0.17394,916533066327098.8,3.75e-06,8.00816e-07,2.15e-06,7.991839999999999e-07,2.949184e-06
Internet Computer,icp,2.64,1451682191,55,103124635.0,-0.88953,549456842.4752022,700.65,2.02,698.01,0.6200000000000001,698.63
